Matrices to convert different RGB colorspaces with D50 illuminator to CIE XYZ and back. 


RGB Working Space, Reference White,
RGB to XYZ	[M]
XYZ to RGB	[M]-1


Adobe, RGB, 0,D50

39960, 13450, 9779
20389, 41002, 4143
1276, 3990, 48813


128609, -40011, -22370
-64144, 125576, 2192
1880, -9219, 88392

AppleRGB,D50

31166, 22260, 9763
16723, 44077, 4734
1210, 7430, 45440


186847, -89163, -30856
-71615, 133358, 1491
6733, -19431, 95097

Bruce, RGB,D50

32386, 21003, 9801
16525, 44858, 4152
1034, 4124, 48922


173689, -78738, -28114
-64144, 125576, 2192
1733, -8920, 88201

CIE, RGB,D50

31908, 20073, 11208
11446, 54051, 38
-82, 1113, 53050


154914, -56859, -32690
-32806, 91503, 6865
928, -2008, 80765

NTSC, RGB,D50

41574, 12138, 9478
20378, 38770, 6386
-77, 3640, 50517


121011, -36184, -18130
-64399, 131365, -4524
4826, -9522, 85317

PAL/SECAM, RGB,D50

29837, 24087, 9266
15224, 46386, 3925
953, 6875, 46251


194012, -96197, -30704
-64144, 125576, 2192
5536, -16685, 93167

SMPTE-C, RGB,D50

27284, 25765, 10141
14529, 46088, 4918
895, 5987, 47198


222310, -119695, -35294
-70588, 132474, 1363
4738, -14535, 91494

sRGB,D50

28578, 25235, 9376
14582, 46981, 3972
913, 6363, 46804


205380, -105962, -32152
-64144, 125576, 2192
4715, -15007, 92093

